potato_(1kg),taxi_1hour_waiting_(normal_tariff),toyota_corolla_sedan_1.6l_97kw_comfort_(or_equivalent_new_car),apartment_(1_bedroom)_outside_of_centre,cigarettes_20_pack_(marlboro),water_(1.5_liter_bottle),apartment_(3_bedrooms)_in_city_centre,milk_(regular)_(1_liter),oranges_(1kg),1_pair_of_nike_running_shoes_(mid-range),1_summer_dress_in_a_chain_store_(zara_h&m_...),domestic_beer_(0.5_liter_draught),apartment_(1_bedroom)_in_city_centre,monthly_pass_(regular_price),beef_round_(1kg)_(or_equivalent_back_leg_red_meat),tennis_court_rent_(1_hour_on_weekend),cappuccino_(regular),local_cheese_(1kg),loaf_of_fresh_white_bread_(500g),price_per_square_meter_to_buy_apartment_in_city_centre,city,1_pair_of_jeans_(levis_501_or_similar),preschool_(or_kindergarten)_full_day_private_monthly_for_1_child,domestic_beer_(0.5_liter_bottle),eggs_(regular)_(12),apples_(1kg),chicken_fillets_(1kg),1_pair_of_men_leather_business_shoes,water_(0.33_liter_bottle),internet_(60_mbps_or_more_unlimited_data_cable/adsl),basic_(electricity_heating_cooling_water_garbage)_for_85m2_apartment,onion_(1kg),bottle_of_wine_(mid-range),rice_(white)_(1kg),taxi_1km_(normal_tariff),fitness_club_monthly_fee_for_1_adult,apartment_(3_bedrooms)_outside_of_centre,average_monthly_net_salary_(after_tax),1_min._of_prepaid_mobile_tariff_local_(no_discounts_or_plans),mortgage_interest_rate_in_percentages_(%)_yearly_for_20_years_fixed-rate,lettuce_(1_head),meal_inexpensive_restaurant,volkswagen_golf_1.4_90_kw_trendline_(or_equivalent_new_car),tomato_(1kg),one-way_ticket_(local_transport),gasoline_(1_liter),international_primary_school_yearly_for_1_child,cinema_international_release_1_seat,taxi_start_(normal_tariff),banana_(1kg),imported_beer_(0.33_liter_bottle),coke/pepsi_(0.33_liter_bottle),price_per_square_meter_to_buy_apartment_outside_of_centre,mcmeal_at_mcdonalds_(or_equivalent_combo_meal),meal_for_2_people_mid-range_restaurant_three-course
1.14 £,28.80 £,"24,990.24 £","1,454.69 £",13.40 £,1.15 £,"3,815.69 £",1.28 £,2.12 £,75.22 £,34.79 £,6.00 £,"2,070.28 £",160.00 £,11.05 £,12.16 £,3.47 £,6.73 £,1.30 £,"13,136.83 £",London,76.64 £,"1,568.05 £",1.95 £,3.06 £,2.13 £,7.05 £,94.87 £,1.43 £,29.98 £,306.18 £,1.17 £,9.00 £,1.96 £,1.80 £,47.89 £,"2,465.54 £","3,234.93 £",0.12 £,4.36,0.86 £,18.00 £,"25,000.00 £",2.65 £,2.70 £,1.75 £,"18,895.65 £",12.00 £,4.00 £,1.24 £,2.46 £,1.91 £,"7,405.18 £",7.50 £,80.00 £
1.02 £,24.00 £,"20,926.43 £",765.00 £,12.00 £,1.07 £,"2,026.47 £",0.99 £,2.05 £,73.00 £,40.71 £,5.00 £,"1,033.40 £",60.00 £,8.83 £,15.67 £,3.19 £,6.39 £,1.07 £,"4,664.57 £",Edinburgh,71.25 £,"1,064.76 £",1.57 £,2.05 £,1.94 £,5.84 £,82.22 £,1.23 £,29.22 £,189.73 £,0.83 £,7.00 £,1.16 £,1.42 £,34.00 £,"1,262.63 £","2,294.37 £",0.11 £,2.62,0.73 £,15.00 £,"22,795.00 £",2.20 £,1.85 £,1.61 £,"12,400.00 £",10.00 £,3.80 £,0.89 £,1.91 £,1.70 £,"3,293.75 £",6.50 £,60.00 £
1.00 £,15.00 £,"20,666.67 £",660.77 £,12.53 £,0.91 £,"1,612.50 £",1.02 £,1.65 £,65.00 £,36.25 £,4.00 £,806.33 £,53.00 £,8.94 £,6.00 £,2.95 £,5.30 £,1.05 £,"2,485.00 £",Cardiff,54.75 £,"1,116.67 £",2.02 £,2.32 £,1.92 £,5.17 £,56.43 £,1.37 £,24.67 £,224.35 £,0.98 £,8.00 £,1.56 £,1.18 £,28.22 £,"1,007.25 £","2,141.98 £",0.07 £,4.83,0.74 £,14.00 £,"24,500.00 £",1.79 £,2.00 £,1.54 £,"13,500.00 £",7.00 £,2.75 £,1.15 £,2.05 £,1.71 £,"2,200.00 £",6.99 £,60.00 £
1.26 £,13.50 £,"22,752.57 £",617.27 £,12.65 £,1.00 £,"1,350.00 £",1.06 £,1.65 £,72.31 £,34.29 £,5.20 £,855.00 £,60.00 £,10.14 £,10.71 £,2.97 £,5.38 £,1.25 £,"2,911.43 £",Belfast,60.00 £,859.56 £,1.80 £,2.14 £,2.11 £,5.81 £,85.25 £,1.20 £,36.67 £,122.04 £,1.05 £,8.00 £,1.65 £,1.93 £,32.94 £,855.50 £,"2,036.29 £",0.18 £,3.11,0.69 £,15.00 £,"20,021.82 £",1.80 £,2.60 £,1.56 £,"5,750.00 £",9.00 £,3.50 £,1.23 £,2.51 £,1.65 £,"1,933.33 £",6.50 £,60.00 £
1.68 €,30.60 €,"30,997.23 €","1,655.43 €",15.80 €,1.47 €,"3,542.50 €",1.27 €,2.34 €,93.54 €,36.88 €,6.00 €,"1,913.89 €",120.00 €,10.81 €,20.18 €,3.82 €,9.00 €,1.86 €,"7,344.42 €",Dublin,81.53 €,"1,218.75 €",2.89 €,3.57 €,2.41 €,9.65 €,98.81 €,1.72 €,56.27 €,233.52 €,1.07 €,12.00 €,1.46 €,1.50 €,45.79 €,"2,796.98 €","2,933.06 €",0.37 €,3.63,1.03 €,20.00 €,"32,000.00 €",3.45 €,2.00 €,1.76 €,"9,596.25 €",12.00 €,4.00 €,1.83 €,3.42 €,2.25 €,"5,118.51 €",10.00 €,80.00 €
2.23 €,45.00 €,"28,862.50 €",920.68 €,10.50 €,0.84 €,"2,827.42 €",1.21 €,3.01 €,93.09 €,38.34 €,7.00 €,"1,215.96 €",84.10 €,22.10 €,16.44 €,3.78 €,17.46 €,1.91 €,"12,310.06 €",Paris,98.97 €,755.00 €,2.10 €,3.53 €,3.32 €,13.53 €,130.63 €,2.49 €,30.25 €,199.01 €,2.36 €,9.00 €,2.16 €,1.86 €,36.13 €,"1,931.05 €","2,656.58 €",0.20 €,2.01,1.51 €,15.00 €,"22,000.00 €",3.89 €,2.10 €,1.97 €,"16,428.57 €",12.25 €,5.00 €,2.19 €,3.06 €,3.01 €,"8,661.31 €",10.00 €,60.00 €
1.28 €,5.00 €,"20,000.00 €",721.43 €,3.50 €,0.62 €,"1,735.71 €",1.16 €,1.67 €,91.67 €,28.33 €,2.25 €,856.25 €,30.00 €,10.72 €,25.00 €,2.12 €,17.01 €,1.32 €,"4,900.00 €",Andorra-La-Vella,82.50 €,514.00 €,0.86 €,2.12 €,1.62 €,9.22 €,83.33 €,1.28 €,50.23 €,140.00 €,1.46 €,7.08 €,2.00 €,1.52 €,41.00 €,"1,425.00 €","2,508.33 €",0.48 €,2.80,1.48 €,12.00 €,"18,500.00 €",2.81 €,1.90 €,1.28 €,"13,050.00 €",9.00 €,2.65 €,1.82 €,1.36 €,1.95 €,"3,775.00 €",8.00 €,50.00 €
1.26 €,22.00 €,"24,441.43 €",752.55 €,5.10 €,0.67 €,"1,674.91 €",0.98 €,1.58 €,67.31 €,25.37 €,2.90 €,994.23 €,52.00 €,12.04 €,10.64 €,1.94 €,10.47 €,1.11 €,"4,326.36 €",Madrid,53.37 €,477.14 €,1.03 €,2.43 €,2.14 €,7.28 €,72.08 €,1.53 €,29.45 €,137.98 €,1.38 €,5.00 €,1.31 €,1.05 €,35.30 €,"1,229.91 €","2,417.57 €",0.04 €,1.67,1.05 €,12.00 €,"25,377.00 €",1.99 €,1.50 €,1.66 €,"8,322.22 €",9.00 €,3.50 €,1.77 €,1.50 €,2.33 €,"2,750.51 €",8.00 €,47.50 €
1.27 €,15.00 €,"30,866.43 €",790.67 €,5.40 €,0.75 €,"2,256.04 €",0.93 €,1.52 €,73.47 €,31.91 €,2.50 €,"1,245.35 €",40.00 €,11.13 €,10.80 €,1.74 €,9.38 €,1.44 €,"5,331.76 €",Lisbon,80.58 €,441.70 €,1.24 €,2.68 €,1.99 €,6.91 €,94.57 €,1.14 €,36.40 €,122.28 €,1.24 €,4.00 €,1.30 €,0.70 €,37.76 €,"1,383.63 €","1,199.57 €",0.14 €,2.45,1.31 €,12.00 €,"28,000.00 €",2.06 €,2.00 €,1.81 €,"10,252.16 €",7.50 €,3.50 €,1.29 €,1.92 €,1.53 €,"2,829.77 €",7.50 €,50.00 €
1.50 €,80.00 €,"21,000.00 €","5,625.00 €",10.00 €,1.93 €,"29,666.67 €",1.75 €,1.83 €,139.75 €,37.00 €,7.00 €,"7,157.71 €",36.00 €,15.00 €,32.50 €,3.94 €,14.00 €,3.75 €,"73,666.67 €",Monaco,135.25 €,"3,200.00 €",2.00 €,2.97 €,1.67 €,10.00 €,584.00 €,5.55 €,57.00 €,174.78 €,2.33 €,13.00 €,3.17 €,1.70 €,600.00 €,"8,666.67 €","5,188.33 €",0.10 €,2.38,1.33 €,24.50 €,"20,000.00 €",3.50 €,2.00 €,1.83 €,"29,333.33 €",12.00 €,3.00 €,2.00 €,3.50 €,4.70 €,"54,600.00 €",10.00 €,150.00 €
1.46 €,35.00 €,"26,647.63 €","1,310.48 €",5.45 €,0.60 €,"2,731.08 €",1.31 €,2.29 €,93.94 €,34.83 €,5.25 €,"1,589.09 €",0.00 €,17.70 €,19.43 €,3.55 €,16.72 €,2.80 €,"11,182.86 €",Luxembourg,67.43 €,888.19 €,1.44 €,3.41 €,2.55 €,11.28 €,109.83 €,2.94 €,50.46 €,241.88 €,1.95 €,8.00 €,2.25 €,3.00 €,40.73 €,"2,186.30 €","4,239.22 €",0.05 €,1.90,1.46 €,19.45 €,"25,000.00 €",3.81 €,0.00 €,1.61 €,"16,955.50 €",12.00 €,4.25 €,1.49 €,1.72 €,2.85 €,"7,954.76 €",10.00 €,75.00 €
2.02 Fr.,76.50 Fr.,"46,666.67 Fr.",892.86 Fr.,9.10 Fr.,1.23 Fr.,"2,281.82 Fr.",1.63 Fr.,3.03 Fr.,123.89 Fr.,47.50 Fr.,6.50 Fr.,"1,154.55 Fr.",79.00 Fr.,54.22 Fr.,23.33 Fr.,4.75 Fr.,23.04 Fr.,2.66 Fr.,"9,190.69 Fr.",Bern,109.89 Fr.,"2,133.33 Fr.",1.69 Fr.,5.55 Fr.,3.55 Fr.,25.95 Fr.,136.25 Fr.,3.77 Fr.,45.50 Fr.,275.78 Fr.,1.87 Fr.,12.00 Fr.,2.52 Fr.,4.45 Fr.,59.11 Fr.,"1,662.50 Fr.","6,106.25 Fr.",0.22 Fr.,2.49,1.87 Fr.,23.00 Fr.,"35,000.00 Fr.",3.89 Fr.,3.65 Fr.,1.92 Fr.,"29,000.00 Fr.",20.00 Fr.,6.90 Fr.,2.70 Fr.,2.09 Fr.,4.15 Fr.,"6,017.00 Fr.",15.00 Fr.,90.00 Fr.
1.50 €,30.00 €,"26,907.14 €",698.75 €,6.00 €,0.55 €,"2,100.00 €",1.65 €,2.18 €,86.25 €,34.18 €,5.00 €,"1,058.59 €",35.00 €,15.67 €,17.84 €,1.53 €,15.33 €,1.66 €,"7,045.45 €",Rome,76.50 €,483.08 €,1.49 €,3.29 €,2.32 €,9.83 €,112.00 €,1.08 €,27.48 €,211.06 €,1.56 €,6.00 €,2.31 €,1.30 €,51.69 €,"1,285.71 €","1,651.44 €",0.23 €,2.33,1.17 €,15.00 €,"24,500.00 €",2.61 €,1.50 €,1.84 €,"7,944.38 €",9.00 €,4.25 €,1.92 €,2.22 €,2.07 €,"3,363.61 €",9.25 €,70.00 €
1.00 €,22.00 €,"22,000.00 €",516.67 €,5.00 €,0.53 €,673.33 €,1.05 €,1.75 €,50.00 €,27.50 €,4.00 €,616.67 €,28.00 €,13.57 €,25.00 €,1.47 €,9.50 €,1.33 €,"2,500.00 €",San-Marino-San-Marino,55.00 €,253.33 €,1.50 €,2.29 €,1.50 €,4.00 €,49.00 €,1.38 €,36.67 €,100.00 €,1.41 €,4.00 €,1.10 €,1.30 €,60.00 €,583.33 €,"3,005.81 €",0.20 €,3.55,0.75 €,15.00 €,"21,500.00 €",1.50 €,1.50 €,1.67 €,"5,000.00 €",7.50 €,9.90 €,1.99 €,1.58 €,1.98 €,"2,500.00 €",7.33 €,60.00 €
1.41 €,30.00 €,"26,730.00 €",798.68 €,8.00 €,1.08 €,"1,697.20 €",1.18 €,2.42 €,90.69 €,32.00 €,5.00 €,955.48 €,49.00 €,16.49 €,22.12 €,3.41 €,13.26 €,2.20 €,"3,837.92 €",Brussels,79.64 €,846.88 €,2.11 €,3.33 €,2.45 €,9.79 €,120.09 €,2.25 €,51.11 €,205.95 €,1.25 €,8.00 €,1.99 €,2.00 €,30.72 €,"1,504.55 €","2,843.03 €",0.27 €,2.15,1.54 €,16.00 €,"26,622.50 €",2.76 €,2.45 €,1.86 €,"22,010.00 €",12.00 €,4.90 €,1.61 €,3.22 €,2.39 €,"3,283.33 €",9.12 €,75.00 €
1.54 €,32.50 €,"29,845.00 €","1,398.34 €",8.20 €,0.74 €,"2,722.19 €",1.15 €,1.73 €,82.15 €,27.48 €,5.00 €,"1,638.30 €",89.00 €,16.87 €,19.72 €,3.24 €,12.14 €,1.63 €,"7,640.74 €",Amsterdam,69.63 €,"1,576.10 €",1.35 €,3.73 €,2.27 €,9.77 €,97.48 €,2.19 €,41.33 €,215.81 €,1.09 €,6.00 €,2.04 €,2.40 €,35.66 €,"2,026.57 €","3,734.92 €",0.06 €,2.85,1.07 €,15.50 €,"26,349.50 €",2.93 €,3.20 €,1.97 €,"11,139.55 €",13.00 €,4.00 €,1.66 €,1.59 €,2.47 €,"5,214.98 €",10.00 €,65.00 €
1.92 €,33.00 €,"27,728.57 €",899.26 €,8.00 €,0.71 €,"2,358.33 €",1.27 €,2.65 €,86.50 €,35.71 €,4.00 €,"1,270.07 €",80.00 €,14.17 €,20.24 €,3.36 €,12.55 €,1.75 €,"7,995.60 €",Berlin,81.84 €,186.67 €,1.04 €,2.90 €,2.60 €,10.12 €,108.53 €,2.14 €,39.17 €,337.93 €,1.68 €,6.00 €,2.39 €,2.00 €,39.10 €,"1,620.98 €","2,979.77 €",0.11 €,2.89,1.41 €,12.00 €,"29,970.00 €",3.31 €,3.00 €,1.92 €,"6,718.75 €",12.00 €,4.70 €,1.76 €,1.47 €,2.60 €,"5,704.82 €",9.90 €,60.00 €
1.88 Fr.,7.01 Fr.,"33,769.39 Fr.","1,155.26 Fr.",9.00 Fr.,0.95 Fr.,"2,229.68 Fr.",1.55 Fr.,4.35 Fr.,113.46 Fr.,40.97 Fr.,5.00 Fr.,"1,243.80 Fr.",50.00 Fr.,23.00 Fr.,27.50 Fr.,4.83 Fr.,13.61 Fr.,2.99 Fr.,"7,219.33 Fr.",Vaduz-Liechtenstein,85.75 Fr.,225.00 Fr.,1.93 Fr.,6.94 Fr.,2.53 Fr.,9.62 Fr.,114.08 Fr.,3.50 Fr.,50.67 Fr.,182.36 Fr.,2.08 Fr.,15.00 Fr.,2.00 Fr.,1.03 Fr.,71.67 Fr.,"1,933.33 Fr.","6,611.11 Fr.",0.15 Fr.,7.12,1.94 Fr.,25.00 Fr.,"28,449.50 Fr.",4.50 Fr.,4.00 Fr.,1.73 Fr.,"12,240.00 Fr.",24.54 Fr.,1.60 Fr.,3.70 Fr.,2.00 Fr.,4.00 Fr.,"3,250.00 Fr.",13.00 Fr.,97.50 Fr.
1.53 €,25.00 €,"22,998.89 €",647.48 €,6.00 €,0.56 €,"1,524.15 €",1.37 €,2.21 €,80.65 €,32.23 €,4.20 €,844.70 €,45.00 €,15.00 €,16.50 €,3.42 €,10.75 €,2.04 €,"7,512.16 €",Vienna,80.06 €,238.75 €,1.06 €,3.68 €,2.23 €,10.69 €,98.86 €,2.08 €,30.15 €,215.08 €,1.41 €,6.00 €,1.91 €,1.60 €,28.35 €,"1,096.38 €","2,969.05 €",0.04 €,2.00,1.45 €,14.00 €,"26,000.00 €",3.19 €,2.40 €,1.75 €,"11,987.50 €",11.00 €,4.00 €,1.80 €,1.34 €,2.61 €,"4,488.68 €",9.00 €,60.00 €
24.02 Kč,360.00 Kč,"614,541.38 Kč","17,417.60 Kč",144.00 Kč,17.80 Kč,"43,452.23 Kč",27.01 Kč,47.24 Kč,"2,117.26 Kč",931.79 Kč,50.00 Kč,"23,310.10 Kč",550.00 Kč,314.63 Kč,414.38 Kč,69.58 Kč,282.48 Kč,39.68 Kč,"190,426.83 Kč",Prague,"1,976.11 Kč","18,062.50 Kč",23.50 Kč,75.95 Kč,40.77 Kč,203.52 Kč,"2,582.33 Kč",31.53 Kč,540.64 Kč,"7,216.99 Kč",25.43 Kč,150.00 Kč,57.88 Kč,28.50 Kč,"1,365.13 Kč","30,542.62 Kč","42,590.49 Kč",3.76 Kč,6.29,33.23 Kč,225.10 Kč,"603,450.00 Kč",81.49 Kč,32.00 Kč,38.63 Kč,"307,942.31 Kč",250.00 Kč,45.00 Kč,40.08 Kč,38.56 Kč,37.87 Kč,"133,644.44 Kč",190.00 Kč,"1,200.00 Kč"
3.54 zł,40.00 zł,"102,529.63 zł","2,903.85 zł",18.00 zł,2.49 zł,"7,539.13 zł",4.09 zł,7.15 zł,361.28 zł,147.01 zł,14.00 zł,"3,823.58 zł",110.00 zł,47.11 zł,79.52 zł,13.68 zł,37.35 zł,4.59 zł,"20,474.44 zł",Warsaw,327.18 zł,"1,877.04 zł",4.28 zł,12.37 zł,3.93 zł,24.81 zł,399.51 zł,6.54 zł,58.66 zł,"1,157.47 zł",4.03 zł,30.00 zł,6.60 zł,3.00 zł,147.93 zł,"5,197.71 zł","6,141.64 zł",0.43 zł,8.08,5.03 zł,40.00 zł,"109,500.00 zł",14.12 zł,4.40 zł,6.86 zł,"47,204.00 zł",30.00 zł,8.00 zł,6.43 zł,6.39 zł,7.12 zł,"12,443.93 zł",29.25 zł,200.00 zł
0.77 €,9.60 €,"24,725.00 €",498.81 €,4.55 €,0.76 €,"1,362.64 €",1.38 €,1.75 €,79.80 €,32.96 €,4.30 €,744.87 €,29.00 €,9.71 €,26.00 €,2.82 €,10.40 €,1.43 €,"4,149.15 €",Vilnius,72.30 €,445.75 €,1.38 €,2.34 €,1.34 €,7.27 €,96.11 €,1.60 €,13.71 €,202.31 €,0.68 €,8.00 €,2.17 €,0.75 €,31.29 €,855.21 €,"1,260.78 €",0.17 €,2.74,1.31 €,10.00 €,"25,000.00 €",2.75 €,0.65 €,1.74 €,"7,964.54 €",8.00 €,1.25 €,1.57 €,1.68 €,2.11 €,"2,546.05 €",7.00 €,60.00 €
