potato_(1kg),taxi_1hour_waiting_(normal_tariff),toyota_corolla_sedan_1.6l_97kw_comfort_(or_equivalent_new_car),apartment_(1_bedroom)_outside_of_centre,cigarettes_20_pack_(marlboro),water_(1.5_liter_bottle),apartment_(3_bedrooms)_in_city_centre,milk_(regular)_(1_liter),oranges_(1kg),1_pair_of_nike_running_shoes_(mid-range),1_summer_dress_in_a_chain_store_(zara_h&m_...),domestic_beer_(0.5_liter_draught),apartment_(1_bedroom)_in_city_centre,monthly_pass_(regular_price),beef_round_(1kg)_(or_equivalent_back_leg_red_meat),tennis_court_rent_(1_hour_on_weekend),cappuccino_(regular),local_cheese_(1kg),loaf_of_fresh_white_bread_(500g),price_per_square_meter_to_buy_apartment_in_city_centre,city,1_pair_of_jeans_(levis_501_or_similar),preschool_(or_kindergarten)_full_day_private_monthly_for_1_child,domestic_beer_(0.5_liter_bottle),eggs_(regular)_(12),apples_(1kg),chicken_fillets_(1kg),1_pair_of_men_leather_business_shoes,water_(0.33_liter_bottle),internet_(60_mbps_or_more_unlimited_data_cable/adsl),basic_(electricity_heating_cooling_water_garbage)_for_85m2_apartment,onion_(1kg),bottle_of_wine_(mid-range),rice_(white)_(1kg),taxi_1km_(normal_tariff),fitness_club_monthly_fee_for_1_adult,apartment_(3_bedrooms)_outside_of_centre,average_monthly_net_salary_(after_tax),1_min._of_prepaid_mobile_tariff_local_(no_discounts_or_plans),mortgage_interest_rate_in_percentages_(%)_yearly_for_20_years_fixed-rate,lettuce_(1_head),meal_inexpensive_restaurant,volkswagen_golf_1.4_90_kw_trendline_(or_equivalent_new_car),tomato_(1kg),one-way_ticket_(local_transport),gasoline_(1_liter),international_primary_school_yearly_for_1_child,cinema_international_release_1_seat,taxi_start_(normal_tariff),banana_(1kg),imported_beer_(0.33_liter_bottle),coke/pepsi_(0.33_liter_bottle),price_per_square_meter_to_buy_apartment_outside_of_centre,mcmeal_at_mcdonalds_(or_equivalent_combo_meal),meal_for_2_people_mid-range_restaurant_three-course
0.88 €,9.80 €,"22,349.23 €",301.11 €,4.50 €,0.75 €,820.83 €,1.32 €,1.85 €,71.84 €,41.75 €,4.00 €,449.19 €,30.00 €,10.65 €,22.59 €,2.70 €,9.82 €,1.26 €,"2,408.10 €",Riga,66.21 €,360.56 €,1.57 €,2.47 €,1.40 €,6.98 €,101.96 €,1.11 €,18.18 €,320.25 €,0.71 €,7.00 €,2.24 €,0.93 €,39.95 €,543.16 €,"1,107.60 €",0.13 €,2.66,1.38 €,12.00 €,"21,750.00 €",2.66 €,1.50 €,1.86 €,"12,576.00 €",9.20 €,2.50 €,1.58 €,1.64 €,1.27 €,"1,474.04 €",7.00 €,52.00 €
0.91 €,12.00 €,"24,120.50 €",476.94 €,5.10 €,0.83 €,"1,089.42 €",1.04 €,1.96 €,81.44 €,34.67 €,5.00 €,653.51 €,30.00 €,13.02 €,30.38 €,3.12 €,9.33 €,1.13 €,"3,682.84 €",Tallinn,75.95 €,345.25 €,1.51 €,2.35 €,1.54 €,7.33 €,93.22 €,1.53 €,25.46 €,257.45 €,0.78 €,8.00 €,1.91 €,0.80 €,49.11 €,774.09 €,"1,477.25 €",0.04 €,2.12,1.38 €,12.00 €,"25,000.00 €",2.45 €,1.50 €,1.80 €,"6,279.00 €",9.00 €,2.59 €,1.28 €,1.81 €,1.90 €,"2,547.19 €",7.00 €,60.00 €
12.49 kr,600.00 kr,"283,321.83 kr","8,937.88 kr",60.00 kr,9.43 kr,"19,448.72 kr",13.61 kr,19.28 kr,823.50 kr,358.80 kr,55.00 kr,"12,259.44 kr",545.00 kr,110.97 kr,186.70 kr,41.60 kr,91.03 kr,21.08 kr,"55,015.12 kr",Copenhagen,742.19 kr,"3,707.50 kr",13.52 kr,33.17 kr,19.77 kr,79.02 kr,"1,157.96 kr",19.04 kr,256.94 kr,"1,525.13 kr",10.76 kr,65.00 kr,17.24 kr,17.00 kr,304.17 kr,"14,452.63 kr","25,184.95 kr",0.86 kr,1.70,13.64 kr,140.00 kr,"280,000.00 kr",29.38 kr,24.00 kr,15.51 kr,"57,488.89 kr",120.00 kr,50.00 kr,17.46 kr,16.48 kr,22.72 kr,"37,462.50 kr",90.00 kr,800.00 kr
20.12 kr,500.00 kr,"341,829.41 kr","11,992.68 kr",150.00 kr,22.96 kr,"22,280.00 kr",20.86 kr,27.32 kr,"1,109.84 kr",399.40 kr,100.00 kr,"14,047.20 kr",845.00 kr,298.74 kr,299.33 kr,44.03 kr,118.97 kr,35.47 kr,"91,463.77 kr",Oslo,871.89 kr,"3,254.61 kr",32.53 kr,40.03 kr,28.64 kr,136.22 kr,"1,156.67 kr",27.59 kr,446.50 kr,"2,228.63 kr",22.87 kr,160.00 kr,30.02 kr,15.00 kr,452.26 kr,"17,682.86 kr","39,142.04 kr",0.99 kr,3.05,25.08 kr,200.00 kr,"350,000.00 kr",38.42 kr,40.00 kr,22.81 kr,"94,668.75 kr",175.00 kr,100.00 kr,21.03 kr,42.18 kr,30.50 kr,"65,019.64 kr",120.00 kr,"1,100.00 kr"
14.90 kr,525.00 kr,"330,000.00 kr","11,354.97 kr",70.00 kr,14.57 kr,"24,936.64 kr",15.58 kr,28.60 kr,"1,039.88 kr",424.40 kr,75.00 kr,"15,798.20 kr",970.00 kr,199.52 kr,381.61 kr,41.80 kr,107.19 kr,28.99 kr,"113,187.37 kr",Stockholm,913.93 kr,"1,396.20 kr",20.66 kr,41.68 kr,31.97 kr,128.84 kr,"1,431.17 kr",21.08 kr,344.12 kr,"1,288.10 kr",14.74 kr,120.00 kr,31.59 kr,35.00 kr,478.37 kr,"17,441.18 kr","32,626.81 kr",1.75 kr,3.49,24.55 kr,131.01 kr,"300,000.00 kr",43.51 kr,39.00 kr,21.77 kr,"80,142.86 kr",150.00 kr,59.50 kr,27.76 kr,24.75 kr,23.03 kr,"68,799.56 kr",96.00 kr,800.00 kr
379.72 kr,"9,177.00 kr","5,825,307.69 kr","194,007.34 kr","1,650.00 kr",285.40 kr,"330,206.90 kr",215.10 kr,346.74 kr,"18,437.14 kr","5,900.00 kr","1,300.00 kr","222,941.32 kr","9,000.00 kr","3,750.53 kr","5,728.57 kr",634.77 kr,"1,991.84 kr",466.20 kr,"835,913.00 kr",Reykjavik,"14,951.33 kr","38,138.08 kr",421.64 kr,813.89 kr,440.95 kr,"2,532.83 kr","23,660.83 kr",278.41 kr,"8,631.76 kr","12,463.31 kr",199.51 kr,"2,749.50 kr",424.00 kr,404.00 kr,"9,060.00 kr","274,285.71 kr","508,943.23 kr",7.86 kr,6.27,387.76 kr,"2,705.18 kr","5,195,000.00 kr",672.36 kr,550.00 kr,324.08 kr,"831,666.67 kr","1,900.00 kr",730.00 kr,288.67 kr,354.14 kr,358.00 kr,"607,707.05 kr","2,099.50 kr","15,000.00 kr"
0.96 €,53.40 €,"30,539.50 €",770.66 €,9.70 €,1.58 €,"1,819.66 €",1.07 €,2.02 €,70.78 €,32.91 €,8.00 €,947.43 €,65.30 €,18.64 €,24.86 €,4.15 €,7.33 €,2.28 €,"6,952.96 €",Helsinki,83.12 €,289.22 €,2.63 €,2.75 €,2.16 €,10.15 €,104.95 €,1.74 €,18.03 €,100.85 €,1.39 €,12.00 €,2.18 €,1.20 €,33.35 €,"1,292.07 €","3,147.00 €",0.06 €,1.11,1.94 €,13.60 €,"32,000.00 €",3.90 €,3.10 €,2.09 €,"6,450.00 €",15.90 €,6.90 €,1.59 €,3.06 €,2.42 €,"4,142.73 €",9.00 €,80.00 €
1.86 BYN,20.00 BYN,"76,915.85 BYN",656.32 BYN,5.00 BYN,1.76 BYN,"2,007.89 BYN",2.09 BYN,5.03 BYN,264.15 BYN,117.01 BYN,3.39 BYN,"1,026.87 BYN",45.91 BYN,21.18 BYN,42.79 BYN,4.66 BYN,19.70 BYN,1.80 BYN,"4,909.74 BYN",Minsk,181.04 BYN,"1,086.87 BYN",2.78 BYN,3.67 BYN,3.10 BYN,11.27 BYN,325.14 BYN,1.26 BYN,33.44 BYN,156.60 BYN,2.20 BYN,25.00 BYN,3.70 BYN,1.00 BYN,99.81 BYN,"1,262.11 BYN","1,491.77 BYN",0.13 BYN,19.98,3.96 BYN,25.00 BYN,"58,081.26 BYN",6.22 BYN,0.90 BYN,2.48 BYN,"16,333.60 BYN",12.00 BYN,4.02 BYN,4.89 BYN,4.76 BYN,2.29 BYN,"3,096.08 BYN",15.00 BYN,120.00 BYN
18.29 ₴,165.00 ₴,"845,267.38 ₴","9,848.48 ₴",80.00 ₴,19.18 ₴,"31,813.19 ₴",38.65 ₴,60.07 ₴,"3,139.13 ₴","1,513.72 ₴",50.00 ₴,"16,816.67 ₴",390.00 ₴,249.50 ₴,642.62 ₴,53.39 ₴,308.24 ₴,27.11 ₴,"85,477.60 ₴",Kiev,"2,661.08 ₴","13,880.61 ₴",32.80 ₴,79.97 ₴,23.17 ₴,150.12 ₴,"3,895.19 ₴",20.37 ₴,186.79 ₴,"3,674.40 ₴",35.65 ₴,180.00 ₴,64.24 ₴,11.00 ₴,"1,119.36 ₴","19,223.08 ₴","19,118.89 ₴",1.91 ₴,16.45,41.04 ₴,300.00 ₴,"1,100,000.00 ₴",82.24 ₴,10.00 ₴,52.93 ₴,"255,013.23 ₴",150.00 ₴,70.00 ₴,56.92 ₴,52.80 ₴,27.30 ₴,"44,528.77 ₴",180.00 ₴,"1,200.00 ₴"
1.09 €,18.00 €,"22,713.33 €",504.32 €,4.50 €,0.74 €,"1,208.62 €",1.08 €,2.01 €,73.72 €,30.43 €,2.25 €,662.43 €,30.00 €,12.29 €,13.22 €,2.36 €,11.88 €,1.53 €,"4,766.18 €",Bratislava,62.57 €,507.14 €,0.96 €,3.07 €,1.55 €,6.84 €,91.82 €,1.62 €,18.96 €,223.60 €,1.00 €,5.00 €,1.50 €,1.00 €,36.21 €,823.14 €,"1,217.50 €",0.07 €,2.28,1.36 €,8.50 €,"23,000.00 €",3.53 €,0.90 €,1.73 €,"15,500.00 €",9.00 €,4.00 €,1.59 €,1.46 €,1.87 €,"3,468.24 €",7.00 €,45.00 €
0.93 €,16.98 €,"24,471.33 €",577.26 €,4.50 €,0.70 €,"1,330.29 €",1.16 €,1.98 €,94.29 €,35.14 €,3.00 €,703.05 €,37.00 €,11.73 €,20.00 €,2.04 €,11.10 €,1.76 €,"4,582.04 €",Ljubljana,77.41 €,452.50 €,1.18 €,2.76 €,1.96 €,8.80 €,113.12 €,1.81 €,33.68 €,273.92 €,1.18 €,6.00 €,2.01 €,1.09 €,41.36 €,"1,039.59 €","1,327.56 €",0.09 €,2.28,1.45 €,10.00 €,"24,450.00 €",2.98 €,1.30 €,1.58 €,"10,006.25 €",8.00 €,1.95 €,1.45 €,2.01 €,2.34 €,"3,458.55 €",7.00 €,50.00 €
1.10 €,6.66 €,"23,974.44 €",457.65 €,4.64 €,1.04 €,993.77 €,1.20 €,1.68 €,86.27 €,36.18 €,2.66 €,588.32 €,47.85 €,11.52 €,11.93 €,1.90 €,9.49 €,1.11 €,"4,069.80 €",Zagreb,84.77 €,150.00 €,1.42 €,3.06 €,1.38 €,9.22 €,105.05 €,1.72 €,24.11 €,198.14 €,1.08 €,6.50 €,2.57 €,0.79 €,43.08 €,723.81 €,"1,139.26 €",0.12 €,3.36,1.04 €,10.00 €,"25,250.36 €",2.41 €,0.53 €,1.71 €,"6,435.41 €",6.66 €,1.99 €,1.42 €,1.91 €,2.38 €,"2,741.89 €",7.16 €,49.06 €
419.33 Ft,"6,000.00 Ft","9,376,675.93 Ft","157,795.87 Ft","2,100.00 Ft",172.72 Ft,"369,273.87 Ft",480.05 Ft,678.24 Ft,"29,900.91 Ft","12,681.36 Ft",800.00 Ft,"201,945.62 Ft","9,500.00 Ft","4,064.46 Ft","5,267.65 Ft",733.20 Ft,"4,367.98 Ft",543.49 Ft,"1,397,457.63 Ft",Budapest,"28,871.94 Ft","141,718.75 Ft",389.77 Ft,"1,141.61 Ft",567.45 Ft,"1,896.70 Ft","34,980.75 Ft",373.33 Ft,"5,393.21 Ft","55,194.51 Ft",482.29 Ft,"2,000.00 Ft",770.87 Ft,440.00 Ft,"18,632.20 Ft","259,221.61 Ft","403,367.18 Ft",30.72 Ft,9.63,508.44 Ft,"3,500.00 Ft","9,726,210.00 Ft","1,421.50 Ft",350.00 Ft,650.26 Ft,"3,581,764.71 Ft","2,500.00 Ft","1,000.00 Ft",703.12 Ft,559.28 Ft,470.98 Ft,"920,607.14 Ft","2,500.00 Ft","16,000.00 Ft"
1.56 KM,11.00 KM,"40,869.94 KM",375.00 KM,6.00 KM,1.08 KM,877.27 KM,2.25 KM,2.62 KM,157.50 KM,60.61 KM,4.00 KM,532.37 KM,53.00 KM,17.33 KM,38.46 KM,2.88 KM,14.63 KM,1.63 KM,"4,465.38 KM",Sarajevo,145.18 KM,342.63 KM,1.93 KM,4.24 KM,1.99 KM,12.97 KM,169.52 KM,1.64 KM,50.05 KM,319.88 KM,1.66 KM,12.00 KM,2.96 KM,1.50 KM,54.00 KM,584.09 KM,"1,469.06 KM",0.17 KM,3.20,1.76 KM,10.00 KM,"40,000.00 KM",3.15 KM,1.60 KM,3.13 KM,"5,923.08 KM",10.00 KM,2.00 KM,2.81 KM,2.27 KM,3.05 KM,"2,651.92 KM",10.00 KM,50.00 KM
114.34 Дин,950.00 Дин,"2,393,317.44 Дин","55,738.48 Дин",410.00 Дин,65.21 Дин,"143,056.54 Дин",160.53 Дин,180.38 Дин,"10,389.52 Дин","3,815.88 Дин",250.00 Дин,"89,642.17 Дин","3,250.00 Дин","1,312.46 Дин","1,779.86 Дин",222.20 Дин,985.90 Дин,79.13 Дин,"397,323.74 Дин",Belgrade,"9,021.94 Дин","34,224.52 Дин",82.78 Дин,277.14 Дин,128.47 Дин,767.14 Дин,"13,306.80 Дин",144.25 Дин,"2,865.57 Дин","17,663.76 Дин",96.65 Дин,800.00 Дин,216.14 Дин,96.00 Дин,"3,474.84 Дин","90,550.77 Дин","75,406.36 Дин",11.45 Дин,5.25,78.55 Дин,"1,000.00 Дин","2,770,000.00 Дин",220.41 Дин,90.00 Дин,187.33 Дин,"752,157.89 Дин",723.46 Дин,265.00 Дин,202.45 Дин,157.02 Дин,206.43 Дин,"240,510.83 Дин",830.00 Дин,"4,000.00 Дин"
4.36 lei,30.00 lei,"114,805.71 lei","1,640.33 lei",25.00 lei,3.35 lei,"4,161.86 lei",8.46 lei,6.90 lei,350.99 lei,191.88 lei,11.28 lei,"2,331.12 lei",80.00 lei,50.41 lei,88.49 lei,13.39 lei,40.29 lei,5.22 lei,"12,171.67 lei",Bucharest,324.22 lei,"2,302.99 lei",4.54 lei,14.73 lei,5.12 lei,28.85 lei,443.33 lei,8.22 lei,42.72 lei,658.62 lei,4.70 lei,30.00 lei,8.49 lei,3.00 lei,214.76 lei,"2,802.53 lei","4,600.80 lei",0.32 lei,7.82,3.58 lei,50.00 lei,"110,834.88 lei",10.41 lei,3.00 lei,7.06 lei,"43,272.02 lei",35.00 lei,3.00 lei,7.42 lei,7.73 lei,8.21 lei,"7,125.89 lei",28.00 lei,226.67 lei
11.57 L,60.00 L,"399,285.71 L","4,786.73 L",45.00 L,12.25 L,"11,927.27 L",19.58 L,26.95 L,"1,760.44 L",608.67 L,25.00 L,"6,178.21 L",234.00 L,132.14 L,367.50 L,28.39 L,173.80 L,8.78 L,"24,019.41 L",Chisinau,935.58 L,"5,957.66 L",18.73 L,40.43 L,13.58 L,91.09 L,"2,062.55 L",9.39 L,178.12 L,"3,573.86 L",11.35 L,95.61 L,26.02 L,5.00 L,589.19 L,"9,218.18 L","9,404.62 L",1.86 L,12.95,23.84 L,120.00 L,"301,000.00 L",34.30 L,6.00 L,28.33 L,"60,887.87 L",120.00 L,30.00 L,30.14 L,30.79 L,13.85 L,"17,087.13 L",100.00 L,550.00 L
1.84 лв,18.60 лв,"46,334.38 лв",662.88 лв,6.00 лв,1.18 лв,"1,563.85 лв",3.37 лв,2.88 лв,150.44 лв,61.81 лв,4.00 лв,865.27 лв,50.00 лв,21.98 лв,28.41 лв,4.04 лв,20.50 лв,1.94 лв,"5,100.76 лв",Sofia,126.83 лв,835.49 лв,1.68 лв,6.25 лв,2.64 лв,14.89 лв,158.33 лв,1.82 лв,24.10 лв,246.83 лв,1.77 лв,11.00 лв,3.72 лв,1.22 лв,58.58 лв,"1,068.77 лв","2,053.11 лв",0.33 лв,3.13,1.68 лв,20.00 лв,"45,000.00 лв",4.29 лв,1.60 лв,2.81 лв,"15,284.04 лв",15.00 лв,2.32 лв,3.24 лв,2.96 лв,2.55 лв,"3,265.71 лв",12.00 лв,82.50 лв
0.85 €,7.50 €,"26,500.00 €",301.67 €,3.50 €,0.64 €,734.62 €,1.20 €,1.21 €,81.56 €,31.67 €,2.00 €,420.48 €,30.00 €,10.00 €,13.50 €,1.52 €,6.44 €,0.77 €,"1,787.50 €",Podgorica,72.50 €,179.17 €,0.93 €,2.55 €,1.10 €,6.94 €,90.00 €,1.44 €,26.61 €,106.97 €,1.13 €,5.00 €,1.77 €,0.55 €,34.23 €,512.50 €,653.12 €,0.13 €,6.27,0.88 €,6.80 €,"25,000.00 €",2.10 €,0.90 €,1.50 €,"5,200.00 €",5.00 €,0.60 €,1.62 €,1.25 €,1.79 €,"1,361.54 €",4.50 €,25.50 €
0.74 €,5.00 €,"19,520.00 €",240.00 €,2.80 €,0.44 €,575.00 €,1.07 €,1.21 €,70.00 €,35.62 €,1.80 €,323.33 €,14.00 €,8.41 €,8.50 €,1.11 €,4.60 €,0.49 €,"1,842.31 €",Pristina,44.44 €,140.00 €,0.90 €,1.62 €,1.04 €,4.31 €,76.67 €,0.98 €,19.81 €,94.55 €,0.69 €,4.00 €,1.20 €,0.90 €,22.70 €,396.15 €,439.19 €,0.09 €,4.48,0.71 €,5.00 €,"15,000.00 €",1.14 €,0.50 €,1.46 €,"4,337.50 €",5.00 €,2.00 €,1.35 €,1.12 €,1.02 €,927.14 €,5.00 €,20.00 €
43.52 ден,328.81 ден,"1,299,935.31 ден","13,050.26 ден",150.00 ден,28.40 ден,"29,939.56 ден",76.88 ден,63.65 ден,"4,326.10 ден","2,048.56 ден",120.00 ден,"17,894.66 ден","1,500.00 ден",636.53 ден,762.06 ден,97.26 ден,425.82 ден,46.90 ден,"106,116.76 ден",Skopje,"3,790.42 ден","14,690.15 ден",51.41 ден,125.21 ден,48.74 ден,419.45 ден,"5,195.92 ден",63.13 ден,"1,100.12 ден","7,834.46 ден",43.29 ден,300.00 ден,78.36 ден,35.00 ден,"1,723.64 ден","20,831.13 ден","30,731.33 ден",6.19 ден,4.68,28.24 ден,400.00 ден,"1,425,000.00 ден",109.00 ден,40.00 ден,92.79 ден,"240,420.50 ден",300.00 ден,50.00 ден,75.03 ден,69.46 ден,84.35 ден,"76,002.39 ден",265.00 ден,"1,599.67 ден"
92.78 Lek,"1,350.00 Lek","2,348,235.23 Lek","33,125.18 Lek",350.00 Lek,62.54 Lek,"105,712.90 Lek",176.65 Lek,150.66 Lek,"8,655.08 Lek","4,167.41 Lek",200.00 Lek,"50,865.99 Lek","1,600.00 Lek","1,140.54 Lek","2,206.63 Lek",155.36 Lek,888.27 Lek,90.58 Lek,"262,349.30 Lek",Tirana,"5,540.21 Lek","21,618.83 Lek",112.24 Lek,340.27 Lek,117.83 Lek,703.15 Lek,"10,084.18 Lek",74.94 Lek,"1,641.42 Lek","9,620.40 Lek",95.80 Lek,"1,000.00 Lek",184.30 Lek,300.00 Lek,"4,130.09 Lek","55,843.65 Lek","54,943.13 Lek",28.06 Lek,4.97,109.78 Lek,700.00 Lek,"2,217,836.53 Lek",148.41 Lek,40.00 Lek,220.61 Lek,"407,740.94 Lek",775.00 Lek,300.00 Lek,209.82 Lek,164.00 Lek,159.92 Lek,"122,736.41 Lek",700.00 Lek,"4,000.00 Lek"
11.48 TL,100.00 TL,"752,341.67 TL","4,901.82 TL",35.00 TL,5.53 TL,"12,852.11 TL",22.81 TL,18.29 TL,"1,587.10 TL",658.52 TL,60.00 TL,"7,304.43 TL",300.00 TL,231.64 TL,265.00 TL,44.01 TL,154.71 TL,9.71 TL,"24,115.43 TL",Ankara,934.05 TL,"5,483.33 TL",38.29 TL,37.86 TL,18.27 TL,89.11 TL,"1,381.94 TL",7.65 TL,193.17 TL,"1,309.07 TL",13.67 TL,150.00 TL,33.25 TL,10.00 TL,456.59 TL,"8,681.16 TL","10,079.50 TL",1.32 TL,20.40,12.69 TL,110.00 TL,"805,000.00 TL",23.66 TL,9.50 TL,21.50 TL,"104,027.23 TL",70.00 TL,12.00 TL,30.00 TL,49.87 TL,19.91 TL,"15,924.66 TL",102.50 TL,450.00 TL
2.50 €,30.00 €,"25,666.67 €",805.56 €,5.50 €,1.33 €,"2,400.00 €",1.11 €,2.18 €,131.25 €,65.00 €,4.00 €,955.56 €,26.00 €,14.67 €,26.67 €,2.77 €,11.67 €,1.58 €,"6,333.33 €",Valletta,117.50 €,616.00 €,1.77 €,2.82 €,2.50 €,9.00 €,163.75 €,1.60 €,46.88 €,158.56 €,3.00 €,7.00 €,2.57 €,3.00 €,79.38 €,"1,438.89 €","1,333.57 €",0.40 €,4.00,1.76 €,16.00 €,"22,000.00 €",3.70 €,1.50 €,1.36 €,"9,500.00 €",15.00 €,8.00 €,1.82 €,3.12 €,2.19 €,"4,066.67 €",9.50 €,80.00 €
